Qm,deb_a,tin_a,tout_a,v,Re,alpha,deb_w,tin_w,tout_w,v_w,Re_w,alpha_w
kilowatt,kilogram / second,degC,degC,meter / second,dimensionless,watt / kelvin / meter ** 2,liter / minute,degC,degC,meter / second,dimensionless,watt / kelvin / meter ** 2
25.9+/-5.0,0.782+/-0.010,17.46+/-0.15,50.4+/-0.4,3.23+/-0.04,967.3+/-12.8,34.6+/-0.9,158.0+/-1.0,89.7+/-0.7,87.3+/-0.6,0.4909+/-0.0031,(4.90+/-0.04)e+03,(5.07+/-0.04)e+03
40.1+/-1.1,1.153+/-0.010,17.56+/-0.12,51.81+/-0.16,4.77+/-0.04,1424.5+/-12.4,55.5+/-0.7,158.0+/-1.0,89.84+/-0.15,86.08+/-0.14,0.4909+/-0.0031,4865.6+/-31.3,5054.3+/-32.2
54.1+/-1.8,1.539+/-0.011,17.28+/-0.14,51.73+/-0.31,6.37+/-0.05,1902.4+/-13.3,77.2+/-1.3,158.0+/-1.0,89.42+/-0.23,84.32+/-0.23,0.4909+/-0.0031,4807.6+/-31.6,5015.1+/-32.4
67.3+/-0.8,2.110+/-0.012,17.28+/-0.11,48.85+/-0.10,8.69+/-0.06,2617.4+/-14.8,95.2+/-0.9,158.0+/-1.0,90.00+/-0.10,83.70+/-0.10,0.4909+/-0.0031,4806.5+/-30.7,5014.4+/-32.0
73.4+/-1.0,2.333+/-0.013,17.30+/-0.16,48.25+/-0.12,9.60+/-0.06,2896.2+/-16.0,104.7+/-1.1,158.0+/-1.0,89.57+/-0.13,82.67+/-0.13,0.4909+/-0.0031,4768.0+/-30.6,4988.0+/-32.0
82.8+/-1.0,2.708+/-0.017,17.40+/-0.16,47.42+/-0.12,11.13+/-0.08,3364.6+/-21.2,120.7+/-1.3,158.0+/-1.0,89.02+/-0.11,81.22+/-0.11,0.4909+/-0.0031,4714.6+/-30.1,4951.0+/-31.9
90.5+/-1.1,3.075+/-0.019,17.5+/-0.4,46.62+/-0.20,12.62+/-0.09,3823.7+/-23.5,135.7+/-2.5,158.0+/-1.0,88.60+/-0.10,80.15+/-0.10,0.4909+/-0.0031,4675.1+/-29.8,4923.3+/-31.8
100.7+/-0.9,3.470+/-0.011,17.32+/-0.13,45.98+/-0.11,14.22+/-0.06,4318.5+/-13.8,150.3+/-1.3,158.0+/-1.0,89.30+/-0.10,79.85+/-0.10,0.4909+/-0.0031,4685.7+/-29.9,4930.8+/-31.8
103.5+/-1.9,3.55+/-0.07,17.2+/-0.6,45.8+/-0.5,14.56+/-0.29,(4.43+/-0.09)e+03,152.5+/-6.3,158.0+/-1.0,89.80+/-0.10,80.05+/-0.10,0.4909+/-0.0031,4704.2+/-30.0,4943.8+/-31.8
